shift_id,nurse_id,date,unit,shift_type,hours,patients,acuity,admissions,discharges,overtime,call_in,feedback_id,reported_stress,reported_fatigue,burnout_freq,emotionally_drained,used_up,workload_change,intent_to_leave,satisfaction,comments
SN0027-36207,N0027,2025-12-28,ICU,Night,12,5,10,0,0,False,False,F1,Medium,Moderate,Never,False,True,More,False,1,
SN0105-33607,N0105,2025-12-02,ICU,Day,12,4,3,1,2,False,False,F2,Low,Severe,Weekly,True,True,More,False,3,
SN0044-31507,N0044,2025-11-11,Peds,Evening,8,2,7,3,0,False,False,F3,Low,Moderate,Every day,False,False,More,False,5,
SN0034-00307,N0034,2026-01-03,Medical,Day,12,2,1,0,1,False,False,F4,Medium,Moderate,Every day,False,False,More,False,1,
SN0087-29719,N0087,2025-10-24,ED,Evening,8,5,6,1,0,False,False,F5,High,Moderate,Every day,True,False,More,True,3,
SN0059-30319,N0059,2025-10-30,Surgery,Night,12,3,6,2,0,False,False,F6,Medium,None,Every day,False,True,No change,False,4,
SN0109-36407,N0109,2025-12-30,ED,Day,12,2,5,1,0,False,False,F7,High,None,Every day,False,False,No change,True,4,
SN0073-29307,N0073,2025-10-20,ICU,Day,12,6,1,1,1,False,False,F8,High,Moderate,Monthly,False,False,More,False,1,
SN0117-29919,N0117,2025-10-26,ED,Day,12,5,6,1,4,False,True,F9,Low,Moderate,Never,True,True,No change,True,5,
SN0104-28619,N0104,2025-10-13,ED,Day,12,4,6,1,1,False,False,F10,Low,None,Every day,False,False,More,True,5,
SN0098-31419,N0098,2025-11-10,ED,Day,12,7,5,1,2,True,False,F11,Low,Moderate,Monthly,False,False,More,False,5,
SN0146-32319,N0146,2025-11-19,ED,Day,12,7,6,1,0,False,False,F12,High,Moderate,Every day,False,False,More,True,5,
SN0085-00119,N0085,2026-01-01,Medical,Day,12,3,4,0,1,False,False,F13,Medium,Moderate,Weekly,False,False,More,True,5,
SN0098-29407,N0098,2025-10-21,ED,Day,12,4,3,1,1,False,False,F14,High,Severe,Never,False,False,More,True,2,
SN0020-30019,N0020,2025-10-27,ICU,Day,8,5,1,0,1,True,False,F15,Low,None,Weekly,False,False,More,False,5,
SN0089-30407,N0089,2025-10-31,Surgery,Evening,10,6,2,1,2,False,False,F16,Medium,Moderate,Monthly,True,False,More,False,3,
SN0024-35407,N0024,2025-12-20,ICU,Day,10,4,5,1,1,False,False,F17,Low,Moderate,Never,False,False,No change,True,1,
SN0004-29407,N0004,2025-10-21,ICU,Night,12,3,6,2,0,False,False,F18,High,Severe,Weekly,True,False,No change,False,2,
SN0084-29107,N0084,2025-10-18,Peds,Night,12,3,2,0,2,False,False,F19,Low,Severe,Weekly,False,True,No change,False,5,
