shift_id,nurse_id,date,unit,shift_type,hours,patients,acuity,admissions,discharges,overtime,call_in
SN0001-28607,N0001,2025-10-13,Peds,Day,12,7,8,2,0,False,False
SN0001-28319,N0001,2025-10-10,Surgery,Night,12,2,3,2,2,False,False
SN0001-28407,N0001,2025-10-11,ICU,Day,12,7,9,1,0,False,False
SN0001-28307,N0001,2025-10-10,ED,Evening,12,8,3,0,3,False,False
SN0001-28619,N0001,2025-10-13,Peds,Day,10,8,1,1,0,False,False
SN0001-28207,N0001,2025-10-09,Peds,Day,12,3,2,1,0,False,False
SN0001-29407,N0001,2025-10-21,Medical,Night,10,3,4,1,1,False,False
SN0001-28819,N0001,2025-10-15,ED,Night,8,8,1,0,1,False,False
SN0001-29007,N0001,2025-10-17,Surgery,Night,12,8,4,1,0,True,False
SN0001-29507,N0001,2025-10-22,Surgery,Day,12,3,10,1,2,False,False
SN0001-30107,N0001,2025-10-28,Peds,Day,12,7,9,1,0,False,False
SN0001-29907,N0001,2025-10-26,ED,Day,12,5,4,1,1,False,False
SN0001-29807,N0001,2025-10-25,Surgery,Night,8,4,5,2,1,False,False
SN0001-30007,N0001,2025-10-27,ICU,Day,8,6,9,1,0,False,False
SN0001-30719,N0001,2025-11-03,ED,Night,12,2,5,1,1,False,False
SN0001-30207,N0001,2025-10-29,Surgery,Day,12,7,3,1,2,False,False
SN0001-30607,N0001,2025-11-02,Surgery,Day,12,7,5,1,1,False,True
SN0001-30707,N0001,2025-11-03,Peds,Night,12,6,2,0,0,False,False
SN0001-30819,N0001,2025-11-04,ICU,Day,12,8,5,1,0,True,False
SN0001-30719,N0001,2025-11-03,ED,Night,10,3,8,3,1,False,False
SN0001-31319,N0001,2025-11-09,ICU,Night,12,3,1,1,1,False,False
SN0001-31207,N0001,2025-11-08,Medical,Evening,12,7,8,0,1,False,False
SN0001-31119,N0001,2025-11-07,Peds,Day,12,2,7,1,0,False,False
SN0001-30907,N0001,2025-11-05,Medical,Night,12,4,8,0,1,True,False
SN0001-31507,N0001,2025-11-11,ED,Day,12,8,3,0,0,False,False
SN0001-31207,N0001,2025-11-08,Peds,Evening,12,3,6,0,1,False,False
SN0001-31707,N0001,2025-11-13,ICU,Night,12,4,1,0,0,False,False
SN0001-32007,N0001,2025-11-16,ICU,Night,12,7,2,0,0,True,False
SN0001-32207,N0001,2025-11-18,Medical,Night,12,6,2,0,0,False,False
SN0001-32207,N0001,2025-11-18,Surgery,Day,12,4,10,2,0,False,False
SN0001-31719,N0001,2025-11-13,Medical,Night,12,4,10,4,1,False,False
SN0001-31619,N0001,2025-11-12,ED,Day,12,7,9,1,0,False,False
SN0001-32619,N0001,2025-11-22,Peds,Night,12,8,3,0,0,False,False
SN0001-32919,N0001,2025-11-25,Medical,Night,12,4,6,3,1,False,False
