shift_id,nurse_id,date,unit,shift_type,hours,patients,acuity,admissions,discharges,overtime,call_in,feedback_id,reported_stress,reported_fatigue,burnout_freq,emotionally_drained,used_up,workload_change,intent_to_leave,satisfaction,comments,supervisor_id,performance_score,reliability,teamwork,clinical_decision,remarks
SN0085-00307,N0085,2026-01-03,Peds,Night,12,3,5,0,1,False,False,F3207,Medium,None,Weekly,False,False,No change,False,5,,SUP12,3,Below avg,High,Appropriate,
SN0105-00207,N0105,2026-01-02,Surgery,Night,12,7,4,1,1,False,False,F2733,Low,Moderate,Weekly,False,True,More,True,1,,SUP8,2,Good,Moderate,Appropriate,
SN0023-32419,N0023,2025-11-20,ICU,Night,8,2,9,1,3,False,False,F3953,High,None,Every day,False,False,More,False,4,,SUP6,3,Average,Moderate,Appropriate,
SN0095-31119,N0095,2025-11-07,ICU,Night,10,4,7,2,0,False,False,F2973,High,Severe,Every day,True,False,More,False,4,,SUP11,3,Excellent,Moderate,Appropriate,
SN0138-31319,N0138,2025-11-09,Surgery,Day,12,3,3,1,1,False,False,F2242,Medium,None,Never,True,False,More,False,1,,SUP11,4,Average,High,Appropriate,
SN0030-36007,N0030,2025-12-26,Medical,Day,12,4,1,1,0,False,False,F4552,Medium,Moderate,Never,False,False,More,True,4,,SUP1,4,Average,Moderate,Appropriate,
SN0119-28307,N0119,2025-10-10,Peds,Night,12,4,1,0,1,False,False,F4996,Low,None,Every day,False,False,No change,False,2,,SUP6,2,Average,High,Needs improvement,
SN0075-29307,N0075,2025-10-20,Medical,Night,12,5,7,1,0,False,False,F4228,Low,None,Weekly,False,False,More,True,4,,SUP6,5,Excellent,High,Outstanding,
SN0088-31307,N0088,2025-11-09,Surgery,Night,12,4,10,1,1,False,False,F4737,Low,Moderate,Every day,True,False,Less,True,5,,SUP8,2,Excellent,High,Needs improvement,
SN0054-31819,N0054,2025-11-14,Peds,Day,12,4,4,0,1,False,False,F3007,Medium,None,Never,False,False,More,True,5,,SUP12,5,Excellent,High,Appropriate,
SN0051-00207,N0051,2026-01-02,ED,Day,12,4,7,3,0,False,False,F1000,Low,Moderate,Every day,False,False,More,True,4,,SUP11,5,Excellent,High,Appropriate,
SN0034-33019,N0034,2025-11-26,ICU,Night,12,2,1,2,3,False,False,F576,Low,Moderate,Every day,False,True,Less,True,4,,SUP8,2,Good,Moderate,Appropriate,
SN0018-28419,N0018,2025-10-11,Surgery,Night,12,7,5,2,0,False,False,F1282,Medium,Moderate,Every day,False,True,No change,True,1,,SUP12,2,Good,High,Appropriate,
SN0036-31507,N0036,2025-11-11,Peds,Night,12,5,8,0,0,False,False,F2443,High,Moderate,Every day,False,False,No change,False,3,,SUP8,2,Excellent,Moderate,Appropriate,
SN0007-32207,N0007,2025-11-18,Medical,Night,12,7,7,0,2,False,False,F2397,Medium,Moderate,Weekly,False,False,More,True,3,,SUP10,2,Average,High,Appropriate,
SN0121-29419,N0121,2025-10-21,ED,Night,12,2,3,3,1,False,False,F1819,Low,Moderate,Every day,False,False,No change,False,5,,SUP2,5,Below avg,Moderate,Outstanding,
SN0093-00419,N0093,2026-01-04,Peds,Night,8,8,5,0,1,False,False,F4085,Medium,None,Never,False,False,No change,False,2,,SUP8,2,Good,Moderate,Outstanding,
SN0077-35707,N0077,2025-12-23,ED,Night,8,2,4,1,1,False,False,F4187,Medium,Severe,Never,False,False,Less,False,5,,SUP5,2,Good,Moderate,Outstanding,
SN0128-29019,N0128,2025-10-17,Surgery,Day,12,3,3,0,0,False,False,F4879,Medium,Moderate,Weekly,False,True,No change,True,2,,SUP4,5,Good,High,Appropriate,
SN0045-33207,N0045,2025-11-28,ED,Day,12,6,5,0,0,False,False,F4406,Medium,None,Every day,False,False,Less,False,5,,SUP2,3,Good,High,Appropriate,
SN0120-35907,N0120,2025-12-25,Medical,Day,12,6,2,1,0,True,False,F4923,Low,Moderate,Never,True,True,No change,True,1,,SUP3,2,Excellent,High,Appropriate,
SN0068-31707,N0068,2025-11-13,Peds,Day,12,3,1,2,1,False,False,F2749,High,None,Monthly,False,False,No change,True,5,,SUP11,4,Excellent,High,Outstanding,
SN0068-35907,N0068,2025-12-25,Peds,Day,12,6,4,1,1,False,False,F3079,Low,Moderate,Weekly,False,False,No change,True,5,,SUP5,3,Below avg,High,Appropriate,
SN0049-30219,N0049,2025-10-29,Medical,Day,12,5,8,3,1,False,False,F4725,Medium,Moderate,Weekly,False,False,No change,False,4,,SUP4,4,Good,High,Needs improvement,
SN0143-31007,N0143,2025-11-06,Medical,Day,8,5,2,3,1,False,False,F2849,Medium,Severe,Never,False,False,No change,True,2,,SUP5,4,Excellent,High,Appropriate,
SN0055-32607,N0055,2025-11-22,ICU,Night,12,4,6,0,2,False,False,F3896,High,Moderate,Weekly,False,False,No change,False,3,,SUP11,5,Excellent,High,Needs improvement,
SN0074-34307,N0074,2025-12-09,ED,Day,12,8,8,0,1,False,False,F4730,Medium,None,Weekly,True,False,More,True,1,,SUP6,5,Excellent,Low,Appropriate,
SN0042-36219,N0042,2025-12-28,Medical,Evening,12,2,4,1,0,False,False,F1047,Low,None,Every day,False,False,More,False,2,,SUP4,3,Average,Moderate,Appropriate,
SN0038-28819,N0038,2025-10-15,Surgery,Day,12,2,2,1,0,False,False,F3412,Medium,Moderate,Never,False,True,More,True,5,,SUP6,4,Average,Low,Appropriate,
SN0039-29319,N0039,2025-10-20,Medical,Night,12,6,4,2,1,False,False,F3237,High,Moderate,Weekly,True,False,No change,False,2,,SUP4,5,Good,High,Outstanding,
SN0053-36519,N0053,2025-12-31,ICU,Night,12,7,9,2,4,True,False,F1324,Medium,None,Every day,True,False,No change,False,4,,SUP9,2,Average,High,Appropriate,
SN0102-36107,N0102,2025-12-27,Peds,Evening,8,4,5,2,1,False,False,F3302,Medium,None,Every day,False,False,Less,False,2,,SUP12,3,Good,Low,Appropriate,
SN0134-30519,N0134,2025-11-01,Surgery,Day,12,3,3,2,1,False,False,F1747,Medium,Moderate,Every day,True,False,No change,False,5,,SUP2,3,Good,High,Appropriate,
SN0140-28507,N0140,2025-10-12,Surgery,Evening,12,8,7,0,1,False,False,F2869,Low,Moderate,Never,False,True,More,True,4,,SUP2,3,Average,Moderate,Appropriate,
SN0101-00307,N0101,2026-01-03,ED,Night,8,3,6,2,0,False,False,F3728,High,Severe,Monthly,False,False,More,True,1,,SUP12,2,Good,Moderate,Appropriate,
SN0045-30419,N0045,2025-10-31,Peds,Day,8,6,7,0,1,False,False,F1088,Medium,None,Weekly,False,True,More,False,3,,SUP6,5,Good,Moderate,Appropriate,
SN0102-29807,N0102,2025-10-25,ED,Night,12,8,2,0,1,False,False,F4922,High,Moderate,Every day,False,True,More,True,3,,SUP8,3,Excellent,High,Appropriate,
SN0112-36507,N0112,2025-12-31,ICU,Night,12,3,4,0,0,False,False,F470,High,Moderate,Every day,False,True,Less,False,4,,SUP6,5,Below avg,High,Outstanding,
SN0006-34907,N0006,2025-12-15,Peds,Day,12,3,5,2,1,False,False,F4146,High,None,Weekly,False,False,More,True,2,,SUP1,5,Average,High,Appropriate,
SN0015-35907,N0015,2025-12-25,ED,Evening,8,8,10,1,0,False,False,F481,Medium,None,Never,False,False,More,True,5,,SUP10,2,Below avg,High,Appropriate,
SN0028-31807,N0028,2025-11-14,ED,Evening,12,4,4,1,0,False,False,F2897,Medium,Moderate,Weekly,False,True,No change,False,2,,SUP3,4,Good,Moderate,Appropriate,
SN0110-34207,N0110,2025-12-08,Medical,Day,12,5,7,2,0,False,False,F1729,Low,Moderate,Weekly,False,False,Less,False,2,,SUP8,5,Average,High,Appropriate,
SN0126-29819,N0126,2025-10-25,Medical,Day,10,7,8,0,0,False,False,F3234,Low,Severe,Weekly,False,False,More,True,4,,SUP3,5,Average,High,Appropriate,
SN0144-30007,N0144,2025-10-27,ICU,Night,12,6,8,1,1,False,False,F1352,Medium,Severe,Weekly,False,False,More,True,5,,SUP1,2,Good,Moderate,Appropriate,
SN0048-30619,N0048,2025-11-02,ICU,Night,12,8,4,0,0,False,False,F3713,Medium,None,Monthly,False,False,More,False,4,,SUP10,2,Excellent,High,Needs improvement,
SN0136-36019,N0136,2025-12-26,ED,Day,12,2,1,0,1,False,False,F839,Low,Severe,Never,False,False,More,True,4,,SUP5,4,Average,High,Appropriate,
